gene_symbol	entrez_id	method	cell_type	cell_line	cancer_cell	senescence_type	senescence_effect	description	organism
TP53	7157	"Overexpression"	"Bladder cancer"	"EJ"	"Yes"	"Stress-induced, Replicative"	"Promotes"	"Overexpression of wild type p53 (TP53) in EJ cells (which have lost functional p53) triggered rapid growth arrest with senescence features. Growth arrest in response to p53 induction was irreversible within 48-72 hrs. 95% of EJ-p53 cells showed high levels of SA-beta-galactosidase staining. The cells also showed the flattened, enlarged cell morphology commonly observed in senescent fibroblasts."	"Overexpression of wild type p53 (TP53) in EJ cells (which have lost functional p53) triggered rapid growth arrest with senescence features. Growth arrest in response to p53 induction was irreversible within 48-72 hrs. 95% of EJ-p53 cells showed high levels of SA-beta-galactosidase staining. The cells also showed the flattened, enlarged cell morphology commonly observed in senescent fibroblasts."
TP63	8626	"Knockout"	"Foreskin fibroblast"	"BJ"	"No"	"Replicative"	"Promotes"	"Expression of the alpha, beta or gamma isoforms of TAp63 (TP63) in foreskin fibroblasts (BJ cells) induced cellular senescence, with cells displaying increased SA-beta-galactosidase activity and decreased BrdU incorporation."	"Expression of the alpha, beta or gamma isoforms of TAp63 (TP63) in foreskin fibroblasts (BJ cells) induced cellular senescence, with cells displaying increased SA-beta-galactosidase activity and decreased BrdU incorporation."
TPR	7175	"Knockdown"	"Cervical cancer, Melanoma, Osteosarcoma"	"HeLa, U2OS, A375"	"Yes"	"Replicative"	"Inhibits"	"Depletion of TPR by RNA interference triggered G0-G1 arrest and ultimately induced a senescent-like phenotype dependent on the presence of p53 in HeLa cells as well as in U2OS osteosarcoma and A375 melanoma cells."	"Depletion of TPR by RNA interference triggered G0-G1 arrest and ultimately induced a senescent-like phenotype dependent on the presence of p53 in HeLa cells as well as in U2OS osteosarcoma and A375 melanoma cells."
TRIM28	10155	"Knockout"	"Lung fibroblast"	"IMR-90"	"No"	"Oncogene-induced"	"Promotes"	"TRIM28 accumulated during oncogene induced senescence, becoming phosphorylated on serine 824. TRIM28 knockdown cells partially prevented cell arrest during oncogene induced senescence. Whilst induction of p53 and p21 during oncogene induced senescence was not affected by TRIM28 depletion, p16 induction was partially prevented. The induction of IL8, IL6 and other SASP components was strongly suppressed upon TRIM28 depletion."	"TRIM28 accumulated during oncogene induced senescence, becoming phosphorylated on serine 824. TRIM28 knockdown cells partially prevented cell arrest during oncogene induced senescence. Whilst induction of p53 and p21 during oncogene induced senescence was not affected by TRIM28 depletion, p16 induction was partially prevented. The induction of IL8, IL6 and other SASP components was strongly suppressed upon TRIM28 depletion."
TRPM8	79054	"Knockdown"	"Pancreatic cancer"	"BxPC-3, PANC-1"	"Yes"	"Replicative"	"Inhibits"	"RNA interference of TRPM8 induced replicative senescence in pancreatic adenocarcinoma cells."	"RNA interference of TRPM8 induced replicative senescence in pancreatic adenocarcinoma cells."
TXN	7295	"Knockdown"	"Foreskin fibroblast"	"BJ, BJE-LT"	"No"	"Replicative"	"Inhibits"	"Suppression of TRX1 (TXN) expression via RNA interference induced premature senescence in young human skin fibroblasts through upregulation of the p53/p21 and p16 tumor suppressor pathways."	"Suppression of TRX1 (TXN) expression via RNA interference induced premature senescence in young human skin fibroblasts through upregulation of the p53/p21 and p16 tumor suppressor pathways."
TXNIP	10628	"Overexpression, Knockout"	"Lung fibroblast"	"2BS"	"No"	"Oncogene-induced, Replicative"	"Promotes"	"VDUP1 (TXNIP) is up-regulated during the senescence process and its overexpression in young cells lead to typical signs of senescence. Contrastly, knockdown of VDUP1 delayed the onset of Ras-induced cellular senescence."	"VDUP1 (TXNIP) is up-regulated during the senescence process and its overexpression in young cells lead to typical signs of senescence. Contrastly, knockdown of VDUP1 delayed the onset of Ras-induced cellular senescence."
TYK2	7297	"Overexpression"	"Embryonic kidney, Lung fibroblast"	"IMR-90, MRC-5, HEK293T"	"No"	"Replicative"	"Promotes"	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."
UBTD1	80019	"Overexpression"	"Prostate cancer, Gastric cancer, Colorectal cancer, Gastric epithelial, Lung fibroblast, Breast cancer"	"GES-1, MKN28, KATO-III, SNU-1, SNU-16, MKN45, NCI-N87, SGC-7901, AGS, MCF-7, LoVo, PC-3, MRC-5"	"Yes"	"Replicative, Stress-induced"	"Promotes"	"Ubiquitin domain-containing 1 (UBTD1) gene, a downstream target of p53, induced cellular senescence and acted as a novel tumor suppressor by a mechanism dependant on p53. Expression of UBTD1 increased upon cellular senescence induced by serial passaging of cultures or exposure to DNA-damaging drugs. Overexpression of UBTD1 induced senescence in human fibroblasts and cancer cells, along with attenuation of the transformed phenotype in cancer cells. These showed increased SA-beta-galactosidase activity."	"Ubiquitin domain-containing 1 (UBTD1) gene, a downstream target of p53, induced cellular senescence and acted as a novel tumor suppressor by a mechanism dependant on p53. Expression of UBTD1 increased upon cellular senescence induced by serial passaging of cultures or exposure to DNA-damaging drugs. Overexpression of UBTD1 induced senescence in human fibroblasts and cancer cells, along with attenuation of the transformed phenotype in cancer cells. These showed increased SA-beta-galactosidase activity."
USP1	7398	"Knockdown"	"Lung fibroblast, Foreskin fibroblast"	"WI-38, BJ"	"No"	"Oncogene-induced"	"Inhibits"	"Silencing of USP1 expression in WI-38 and BJ cells resulted in cell-cycle arrest with senescence features. Repression of USP1 induced FANCD2 chromatin aggregation and replication stress. Replication was then repressed through FANCD2-FI-ATR-CHK1-p53-CDKN1A signalling. Thus, USP1 acts as a key senescence regulator by controlling genomic integrity."	"Silencing of USP1 expression in WI-38 and BJ cells resulted in cell-cycle arrest with senescence features. Repression of USP1 induced FANCD2 chromatin aggregation and replication stress. Replication was then repressed through FANCD2-FI-ATR-CHK1-p53-CDKN1A signalling. Thus, USP1 acts as a key senescence regulator by controlling genomic integrity."
VEGFA	7422	"Overexpression"	"Dermal endothelial"	"Primary cell"	"No"	"Replicative"	"Inhibits"	"Supplementation with VEGFA in dermal microvascular endothelial cells resulted in cells having a longer replicative lifespan, normal nuclear morphology being largely maintained even at later passages."	"Supplementation with VEGFA in dermal microvascular endothelial cells resulted in cells having a longer replicative lifespan, normal nuclear morphology being largely maintained even at later passages."
VENTX	27287	"Overexpression, Knockdown"	"Embryonic kidney, Osteosarcoma, Lung fibroblast, Cervical cancer, Lymphoblastic leukemia"	"HEK293T, HeLa, U2OS, Nalm16, IMR-90"	"Yes"	"Replicative"	"Promotes"	"Ectopic expression of VENTX in cancer cells (U2OS and HeLa) caused an irreversible cell cycle arrest with a typical senescence-like phenotype. Conversely, RNA interference of VentX reduces chemotherapeutic agent-induced senescence in lymphocytic leukaemia cells. In normal lung fibroblasts, overexpression of VentX also caused a typical senescence phenotype."	"Ectopic expression of VENTX in cancer cells (U2OS and HeLa) caused an irreversible cell cycle arrest with a typical senescence-like phenotype. Conversely, RNA interference of VentX reduces chemotherapeutic agent-induced senescence in lymphocytic leukaemia cells. In normal lung fibroblasts, overexpression of VentX also caused a typical senescence phenotype."
WNT16	51384	"Knockdown"	"Lung fibroblast"	"MRC-5"	"No"	"Replicative"	"Promotes"	"RNA interference of WNT16B increased the replicative potential of presenescent lung fibroblasts."	"RNA interference of WNT16B increased the replicative potential of presenescent lung fibroblasts."
WNT2	7472	"Knockdown"	"Lung fibroblast"	"WI-38"	"No"	"Replicative"	"Inhibits"	"RNA interference of WNT2 in young, growing human WI-38 fibroblasts, lead to a partially senescence phenotype, including recruitment of chaperone HIRA to PML bodies, formation of SA-heterochromatin foci and increased SA-beta-galactosidase activity but no changes in morphology."	"RNA interference of WNT2 in young, growing human WI-38 fibroblasts, lead to a partially senescence phenotype, including recruitment of chaperone HIRA to PML bodies, formation of SA-heterochromatin foci and increased SA-beta-galactosidase activity but no changes in morphology."
WRN	7486	"Knockdown"	"Fibroblast, WRN syndrome fibroblast"	"AG00780, AG03141"	"Yes"	"Oncogene-induced"	"Inhibits"	"WRN expression was required to avoid cellular senescence upon MYC up-regulation in hTERT-immortalized fibroblasts. Cells that were WRN depleted lost proliferative capacity and showed increased SA-beta-galactosidase activity. Thus, WRN suppresses Myc-induced senescence."	"WRN expression was required to avoid cellular senescence upon MYC up-regulation in hTERT-immortalized fibroblasts. Cells that were WRN depleted lost proliferative capacity and showed increased SA-beta-galactosidase activity. Thus, WRN suppresses Myc-induced senescence."
WT1	7490	"Knockout"	"Lung cancer"	"NCI-H1568, NCI-H23, NCI-H522, NCI-H1437, NCI-H1650, NCI-H1975, NCI-H2126, NCI-H358, NCI-H441, NCI-H460, NCI-H727, NCI-H1299, NCI-H2009, NCI-A549"	"Yes"	"Oncogene-induced"	"Inhibits"	"Loss of Wilms Tumor 1 (WT1) in human lung cancer cells dependent on oncogenic KRAS resulted in reduced proliferation and induced senescence, thus shifting cell fate from hyperproliferation to oncogene-induced senescence."	"Loss of Wilms Tumor 1 (WT1) in human lung cancer cells dependent on oncogenic KRAS resulted in reduced proliferation and induced senescence, thus shifting cell fate from hyperproliferation to oncogene-induced senescence."
WWP1	11059	"Overexpression, Knockdown"	"Lung fibroblast"	"WI-38, 2BS"	"No"	"Replicative"	"Inhibits"	"Overexpression of WWP1 delayed senescence, whereas knockdown of WWP1 led to premature senescence in human fibroblasts."	"Overexpression of WWP1 delayed senescence, whereas knockdown of WWP1 led to premature senescence in human fibroblasts."
XAF1	54739	"Overexpression, Knockdown"	"Dermal microvascular endothelial cells"	"Primary cell"	"No"	"Stress-induced"	"Promotes"	"XAF1 expression was increased by genotoxic agents, such as doxorubicin and ionizing radiation in pulmonary microvascular endothelial cells, consequently leading to premature senescence. Conversely, downregulation of XAF1 in premature senescent cells partially overcame endothelial cell senescence. p53 knockdown, but not p16 knockdown, abolished senescence phenotypes caused by XAF1 induction. XAF1 expression was transcriptionally regulated by Bromodomain 7 (BRD7). XAF1 induction with interferon-gamma (IFN-gamma) treatment was abrogated by BRD7 knockdown, which resulted in blocking interferon-induced senescence."	"XAF1 expression was increased by genotoxic agents, such as doxorubicin and ionizing radiation in pulmonary microvascular endothelial cells, consequently leading to premature senescence. Conversely, downregulation of XAF1 in premature senescent cells partially overcame endothelial cell senescence. p53 knockdown, but not p16 knockdown, abolished senescence phenotypes caused by XAF1 induction. XAF1 expression was transcriptionally regulated by Bromodomain 7 (BRD7). XAF1 induction with interferon-gamma (IFN-gamma) treatment was abrogated by BRD7 knockdown, which resulted in blocking interferon-induced senescence."
